Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_E2_CSF_396.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.34366e+08
A0A075B6H9	A0A075B6H9				2.76895e+07
A0A075B6I0	A0A075B6I0				4.43299e+07
A0A075B6I1	A0A075B6I1				2.65421e+06
A0A075B6I9	A0A075B6I9				2.77973e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				615312
A0A075B6J9	A0A075B6J9				2.70938e+07
A0A075B6K2	A0A075B6K2				514030
A0A075B6K4	A0A075B6K0;A0A075B6K4				1.68768e+06
A0A075B6K5	A0A075B6K5				6.10898e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.82714e+08
A0A075B6R2	A0A075B6R2				1.59559e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				3.51746e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.94583e+08
A0A075B6S5	A0A075B6S5				1.24567e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				7.28935e+06
A0A087WSY4	A0A087WSY4				6.05941e+06
A0A087WSY6	A0A087WSY6				9.52554e+07
A0A087WSZ0	A0A087WSZ0				988785
A0A087WW87;P01614	P01614;A0A087WW87				3.7851e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.64956e+08
A0A0A0MS15	A0A0A0MS15				1.23985e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				2.18054e+06
A0A0A0MT89	A0A0A0MT89				7.2856e+06
A0A0B4J1U7	A0A0B4J1U7				1.32357e+07
A0A0B4J1V0	A0A0B4J1V0				1.57604e+08
A0A0B4J1V2	A0A0B4J1V2				5.91811e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.16515e+08
A0A0B4J1Y8	A0A0B4J1Y8				6.57159e+06
A0A0B4J1Y9	A0A0B4J1Y9				2.38855e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				4.63284e+06
A0A0C4DH24	A0A0C4DH24				7.89992e+06
A0A0C4DH25	A0A0C4DH25				2.98417e+07
A0A0C4DH29	A0A0C4DH29				1.36346e+06
A0A0C4DH31	A0A0C4DH31				1.95867e+06
A0A0C4DH33	A0A0C4DH33				1.19782e+06
A0A0C4DH34	A0A0C4DH34				1.73131e+07
A0A0C4DH35	A0A0C4DH35				1.38644e+06
A0A0C4DH36	A0A0C4DH36				1.05241e+07
A0A0C4DH38	A0A0C4DH38				2.68955e+07
A0A0C4DH43	A0A0C4DH43				1.83915e+07
A0A0C4DH67	A0A0C4DH67				3.29407e+07
A0A0C4DH72	P01599;A0A0C4DH72				2.65697e+07
A0A0J9YX35	A0A0J9YX35				8.94473e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				3.52352e+08
A1L4H1	A1L4H1				1.06878e+06
A2NJV5	A2NJV5				260156
A2RU67	A2RU67				68293.8
A5D6W6	A5D6W6				801678
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				995096
A6NCE7;Q9GZQ8	Q9GZQ8;Q9H492;A6NCE7;Q9H492-2				489496
A6NGN9	A6NGN9				3.66375e+06
A6NL88	A6NL88				2.15468e+06
A6NLU5	A6NLU5				6.48583e+06
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				339568
A8MTW9	A8MTW9				764062
B9A064;P0DOX8	B9A064;P0DOX8				3.61099e+08
C9JVW0	C9JVW0				4.23794e+06
I3L3R5	I3L3R5				509455
O00115;O00115-2	O00115;O00115-2				2.28846e+06
