Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_B6_CSF_257-15.mzML
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.99885e+07
O43567	O43567				8.3348e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				540328
O43827	O43827				3.46839e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				900954
O43854;O43854-2	O43854;O43854-2				343062
O43866	O43866				4.31294e+06
O43897;O43897-2	O43897;O43897-2				1.43301e+06
O43909	O43909				258875
O43916	O43916				805764
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				6.5484e+06
O60242	O60242				2.39102e+06
O60243	O60243				2.1006e+06
O60245;O60245-2	O60245;O60245-2				3.13792e+06
O60279	O60279				1.53494e+07
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				329261
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				4.8033e+06
O60476	O60476				2.38568e+06
O60512	O60512				529385
O60565	O60565				824557
O60568	O60568				1.96784e+06
O60613	O60613				1.36791e+06
O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;Q5QNW6-2				213576
O60883	O60883				1.29099e+08
O60888-3	O60888;O60888-2;O60888-3				1.2375e+07
O75019;O75019-2	O75019;O75019-2				1.9023e+06
O75051;O75051-2	O75051;O75051-2				934635
O75063	O75063				2.21712e+06
O75071	O75071				6.93753e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				3.32988e+06
O75078	O75078;O75078-2				3.84239e+06
O75083	O75083;O75083-3				2.15224e+06
O75084;Q14332	O75084;Q14332				411465
O75144;O75144-2	O75144;O75144-2;O75144-3				2.18196e+07
O75173;O75173-2	O75173;O75173-2				1.69493e+07
O75326	O75326;O75326-2				3.16166e+07
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.30504e+06
O75368	O75368				2.06679e+06
O75487;O75487-2	O75487;O75487-2				1.38154e+06
O75493	O75493				1.17151e+07
O75503	O75503				2.81737e+06
O75509	O75509				2.42216e+07
O75629	O75629				1.68515e+06
O75636;O75636-2	O75636;O75636-2				1.44063e+06
O75711	O75711				1.34803e+08
O75752	O75752				5.15434e+06
O75787;O75787-2	O75787;O75787-2				1.80492e+07
O75874	O75874				308507
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				9.6297e+06
O75973	O75973				754416
O75976	O75976				1.77041e+06
O76061	O76061				4.83906e+06
O76070	O76070;Q16143				3.97095e+06
O94760	O94760				8.85726e+06
O94766	O94766;Q9NPZ5				5.02935e+06
O94769	O94769;O94769-2				8.0774e+06
O94772;O94772-2	O94772;O94772-2				5.09702e+07
O94779;O94779-2;O94779-4	O94779;O94779-2;O94779-4				595562
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				3.09901e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				2.26403e+06
O94910;O94910-2	O94910;O94910-2				6.94585e+06
O94919	O94919				3.35488e+07
O94973;O94973-2	O94973;O94973-2				602772
O94985	O94985				1.94204e+06
O94985-2	O94985;O94985-2				2.41119e+08
O94991	O94991;O94991-2				4.9744e+06
O95084;O95084-2	O95084;O95084-2				1.35135e+06
O95157	O95157				4.65506e+06
O95158	O95158				2.75015e+07
O95185;O95185-2	O95185;O95185-2				3.40684e+06
O95196;O95196-2	O95196;O95196-2				1.36623e+07
O95206;O95206-2	O95206;O95206-2				1.0672e+07
O95297;O95297-2;O95297-3	O95297;O95297-2;O95297-3;O95297-4				752374
O95336	O95336				183683
O95390	O95390				3.148e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				9.69505e+06
O95445	O95445;O95445-2				1.05131e+07
O95450;O95450-2	O95450;O95450-2				2.80171e+06
O95467	O95467				1.48501e+06
O95497	O95497				1.93541e+06
O95502	O95502				9.40855e+07
O95633;O95633-2	O95633;O95633-2				2.23895e+06
O95841	O95841				1.77377e+06
O95865	O95865				834720
O95881	O95881				154224
O95967	O95967				1.03693e+07
O95980	O95980				1.41166e+07
O95998	O95998;O95998-4				1.58285e+07
P00338;P00338-3	P00338;P00338-3;P00338-4				1.15107e+07
P00352	P00352				812515
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				2.20626e+06
P00441	P00441				3.96664e+08
P00450	P00450				3.35613e+08
P00488	P00488				2.46324e+06
P00492	P00492				1.72482e+06
P00505	P00505;P00505-2				8.861e+06
P00533;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				1.79458e+06
P00558	P00558;P00558-2				4.65595e+06
P00734	P00734				4.85794e+07
P00736	P00736				6.00239e+07
P00738	P00738;P00738-2				2.9627e+09
P00739	P00739;P00739-2				1.33201e+09
P00740;P00740-2	P00740;P00740-2				7.51499e+06
P00742	P00742				1.26866e+07
P00746	P00746				8.30626e+07
P00747	P00747				1.23875e+08
P00748	P00748				2.04542e+07
P00751	P00751;P00751-2				1.37449e+08
P00915	P00915				1.30618e+06
P01008	P01008				5.12106e+08
P01009	P01009;P01009-2;P01009-3				5.02147e+09
P01011	P01011				2.28474e+09
P01019	P01019				1.02013e+09
P01023	P01023				6.49732e+08
P01024	P01024				1.96877e+09
P01031	P01031				2.96552e+07
P01033	P01033				5.7733e+07
P01034	P01034				1.2093e+10
P01036;P01037	P01036;P01037				1.11131e+06
P01040	P01040				1.28623e+06
P01042	P01042;P01042-2;P01042-3				2.68576e+08
P01042-2;P01042-3	P01042-2;P01042-3				9.62219e+07
P01127;P01127-2	P01127;P01127-2				2.96978e+07
P01210	P01210				1.38023e+08
P01213	P01213				3.63196e+06
P01236	P01236				2.4207e+06
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				1.65523e+06
P01303	P01303				7.62792e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				1.23481e+07
P01591	P01591				6.93993e+06
P01593;P01594	P01593;P01594				3.30329e+07
P01597;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				4.9479e+07
P01599	P01599;A0A0C4DH72				5.76416e+06
P01602	P01602				1.72272e+07
P01619	P01619				4.53671e+08
P01700	P01700				1.21247e+08
P01701	P01701				8.66831e+08
P01705	P01705				7.63432e+06
P01706	P01706				3.914e+06
P01709	P01706;P01709;P0DOX8				7.90118e+06
P01714	P01714				1.30566e+07
P01717	P01717				6.13524e+07
P01721	P01721				3.76642e+06
P01742	P01742				2.01748e+07
P01768;P0DP03	P01768;P01772;P0DP02;P0DP03				3.64047e+07
P01780	P01780				1.06565e+08
P01817	P01817				8.81915e+06
P01833	P01833				2.07913e+06
P01834	P01834				5.01344e+08
P01859;P01859-1	P01859;P01859-1				9.04441e+08
P01860;P01860-1	P01860;P01860-1				8.98814e+07
P01861;P01861-1	P01861;P01861-1				8.59644e+07
P01871;P01871-1	P01871;P0DOX6;P01871-1				7.6479e+06
P01876;P01876-1	P01876;P01876-1				1.02894e+09
P01889	P01889;P01893;P04439;P13747;P17693;P17693-2;P17693-5;P17693-6;P04439-2				3.62809e+06
P01903;P01906	P01903;P01906				416350
P01911	P01911				747600
P02042	P02042				1.55838e+06
P02144	P02144				1.59402e+07
P02452	P02452				3.64207e+07
P02461	P02461;P02461-2				9.05647e+06
P02511	P02511				2.40381e+06
P02533	P02533				2.45725e+06
P02538	O95678;P02538;P48668				8.67204e+06
P02647	P02647				3.4734e+09
P02649	P02649				5.34691e+09
P02652	P02652				6.45154e+08
P02654	P02654				5.96529e+07
P02655	P02655				1.10415e+07
P02656	P02656				1.06287e+08
P02671	P02671;P02671-2				3.87767e+08
P02675	P02675				1.60325e+08
P02679;P02679-2	P02679;P02679-2				1.95374e+08
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				662581
P02741	P02741				4.37474e+06
