Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_F6_CSF_134.mzML
Q6IS24	Q6IS24				1.0018e+06
Q6JBY9;Q6JBY9-2	Q6JBY9;Q6JBY9-2				143783
Q6MZW2	Q6MZW2;Q6MZW2-2;Q6MZW2-3				1.62768e+07
Q6NUJ2	Q6NUJ2				5.4667e+06
Q6NW40	Q6NW40				3.47331e+07
Q6P4E1;Q6P4E1-5	Q6P4E1;Q6P4E1-2;Q6P4E1-5				1.34032e+07
Q6P9A2	Q6P9A2				2.12725e+06
Q6PCB0	Q6PCB0				827764
Q6PUV4	Q6PUV4				917605
Q6RVD6	Q6RVD6				432150
Q6UVK1	Q6UVK1				4.20718e+06
Q6UW01	Q6UW01				7.53332e+06
Q6UWH4;Q6UWH4-2	Q6UWH4;Q6UWH4-2;Q6UWH4-3				2.97421e+06
Q6UWP8	Q6UWP8;Q6UWP8-2				902121
Q6UWR7	Q6UWR7				1.135e+06
Q6UWY5	Q6UWY5				1.5301e+06
Q6UX15;Q6UX15-2	Q6UX15;Q6UX15-2				2.11374e+06
Q6UX71	Q6UX71;Q6UX71-2				3.64955e+07
Q6UX72	Q6UX72				762835
Q6UX73;Q6UX73-2	Q6UX73;Q6UX73-2				2.59258e+07
Q6UXB8	Q6UXB8;Q6UXB8-2				1.71315e+07
Q6UXD5-3;Q6UXD5-5	Q6UXD5;Q6UXD5-2;Q6UXD5-3;Q6UXD5-4;Q6UXD5-5;Q6UXD5-6				4.41365e+07
Q6UXF1;Q6UXF1-2	Q6UXF1;Q6UXF1-2				476938
Q6UXH9;Q6UXH9-2	Q6UXH9;Q6UXH9-2;Q6UXH9-3				1.73482e+06
Q6UXK2	Q6UXK2				3.17512e+06
Q6UXK5	Q6UXK5				2.11144e+06
